epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,65189.9,0.38657,0.5343,0.97154,0.91945,0.90046,0.95341,0.91756,0.23481,0.56854,0.82295,0.005842,0.005842,0.005842
44,66710.4,0.38813,0.53278,0.97416,0.91758,0.90071,0.95425,0.91904,0.23436,0.56447,0.82242,0.005743,0.005743,0.005743
45,68237.1,0.38161,0.52474,0.96986,0.9134,0.90239,0.95391,0.91976,0.23377,0.55975,0.82185,0.005644,0.005644,0.005644
46,69755.5,0.38368,0.52356,0.96967,0.92237,0.89782,0.95524,0.92011,0.23287,0.55534,0.82041,0.005545,0.005545,0.005545
47,71275.1,0.37699,0.51776,0.96653,0.92419,0.89762,0.95506,0.92149,0.23232,0.55593,0.81961,0.005446,0.005446,0.005446
48,72799.3,0.37602,0.51161,0.96588,0.92459,0.89597,0.95521,0.92142,0.23208,0.54846,0.81954,0.005347,0.005347,0.005347
49,1658.24,0.36746,0.48953,0.95915,0.91911,0.89786,0.95566,0.92126,0.23212,0.54461,0.81978,0.005248,0.005248,0.005248
50,3360.14,0.37372,0.50547,0.96475,0.9245,0.89225,0.95621,0.92143,0.23235,0.54061,0.82015,0.005149,0.005149,0.005149
51,5070.62,0.37327,0.50167,0.9653,0.9128,0.90386,0.95597,0.92173,0.23171,0.53968,0.81967,0.00505,0.00505,0.00505
52,6656.45,0.37054,0.49835,0.96344,0.9104,0.90789,0.9562,0.92204,0.23038,0.53815,0.81861,0.004951,0.004951,0.004951
53,8349.23,0.36939,0.49023,0.96215,0.91227,0.90735,0.95635,0.92226,0.22968,0.53587,0.81803,0.004852,0.004852,0.004852
54,10051.1,0.36821,0.48913,0.96255,0.90929,0.90844,0.95674,0.92258,0.2291,0.53197,0.81709,0.004753,0.004753,0.004753
55,11665.4,0.36687,0.48361,0.96267,0.90791,0.9115,0.95658,0.92315,0.22941,0.52747,0.81718,0.004654,0.004654,0.004654
56,13269.3,0.36659,0.4817,0.96059,0.90636,0.91565,0.95656,0.92333,0.22867,0.52315,0.8163,0.004555,0.004555,0.004555
57,14876.3,0.36341,0.47531,0.95794,0.90495,0.91723,0.9566,0.92345,0.22872,0.51885,0.81685,0.004456,0.004456,0.004456
